zone,country,company_code,vendor_name,vendor_account_number,vendor_type,gpo_category,sub_category,purchasing_category,purchase_document_type,parent_name,delivery_month,total_po_lines,total_delivered,on_time_delivered,late_delivered,x1_overdue,x2_future_due,dot_not_applicable_lines,dot_applicable,total_order_value,dot_percentage,__insert_gmt_ts
EUR,Belgium,BE11,Benepack,0003010406,Third Party,CANS,PACKAGING,DIRECT,ZAB - Call-off,HUARUIFENGQUAN Packaging Holdings Limited,2026-06,71,71,71,0,0,0,0,Y,1193885.14,100.00,2026-07-13
EUR,Belgium,BE11,Benepack,0003010406,Third Party,MARKETING,COMMERCIAL,INDIRECT,ZNB - Standard PO,HUARUIFENGQUAN Packaging Holdings Limited,2025-10,1,1,1,0,0,0,0,Y,800.0,100.00,2026-07-13
EUR,Belgium,BE11,Benepack,0003010406,Third Party,CANS,PACKAGING,DIRECT,ZAB - Call-off,HUARUIFENGQUAN Packaging Holdings Limited,2025-10,99,99,99,0,0,0,0,Y,1881019.6,100.00,2026-07-13
EUR,TRE,HQ06,Benepack,0003010406,Third Party,MARKETING,COMMERCIAL,INDIRECT,ZNB - Standard PO,HUARUIFENGQUAN Packaging Holdings Limited,2026-01,1,1,1,0,0,0,0,Y,1000.0,100.00,2026-07-13
EUR,France,FR11,Benepack,0003010406,Third Party,MARKETING,COMMERCIAL,INDIRECT,ZNB - Standard PO,HUARUIFENGQUAN Packaging Holdings Limited,2026-02,1,1,1,0,0,0,0,Y,1200.0,100.00,2026-07-13
EUR,Belgium,BE11,Benepack,0003010406,Third Party,MARKETING,COMMERCIAL,INDIRECT,ZNB - Standard PO,HUARUIFENGQUAN Packaging Holdings Limited,2025-07,1,1,1,0,0,0,0,Y,1200.0,100.00,2026-07-13
EUR,Belgium,BE11,Benepack,0003010406,Third Party,OTHER PACKAGING,PACKAGING,DIRECT,NB - Standard PO,HUARUIFENGQUAN Packaging Holdings Limited,2025-07,5,5,5,0,0,0,0,Y,225018.74,100.00,2026-07-13
EUR,Germany,DE11,Benepack,0003010406,Third Party,CANS,PACKAGING,DIRECT,ZAB - Call-off,HUARUIFENGQUAN Packaging Holdings Limited,2026-07,9,3,3,0,0,2,0,Y,94232.15,93.75,2026-07-13
EUR,Belgium,BE11,Benepack,0003010406,Third Party,CANS,PACKAGING,DIRECT,ZAB - Call-off,HUARUIFENGQUAN Packaging Holdings Limited,2026-03,75,75,75,0,0,0,0,Y,937248.12,100.00,2026-07-13
EUR,Germany,DE11,Benepack,0003010406,Third Party,CANS,PACKAGING,DIRECT,ZAB - Call-off,HUARUIFENGQUAN Packaging Holdings Limited,2026-03,13,13,13,0,0,0,0,Y,222630.66,100.00,2026-07-13
EUR,Belgium,BE11,Benepack,0003010406,Third Party,CANS,PACKAGING,DIRECT,ZAB - Call-off,HUARUIFENGQUAN Packaging Holdings Limited,2025-09,95,93,93,0,2,0,0,Y,1294873.99,97.92,2026-07-13
EUR,Belgium,BE11,Benepack,0003010406,Third Party,MARKETING,COMMERCIAL,INDIRECT,ZNB - Standard PO,HUARUIFENGQUAN Packaging Holdings Limited,2025-12,7,6,6,0,1,0,0,Y,11200.0,85.84,2026-07-13
EUR,Belgium,BE11,Benepack,0003010406,Third Party,CANS,PACKAGING,DIRECT,ZAB - Call-off,HUARUIFENGQUAN Packaging Holdings Limited,2025-12,76,76,76,0,0,0,0,Y,1088877.22,100.00,2026-07-13
EUR,Germany,DE11,Benepack,0003010406,Third Party,CANS,PACKAGING,DIRECT,ZAB - Call-off,HUARUIFENGQUAN Packaging Holdings Limited,2026-04,5,5,5,0,0,0,0,Y,72021.31,100.00,2026-07-13
EUR,Belgium,BE11,Benepack,0003010406,Third Party,CANS,PACKAGING,DIRECT,ZAB - Call-off,HUARUIFENGQUAN Packaging Holdings Limited,2025-11,81,81,81,0,0,0,0,Y,1814404.0,100.00,2026-07-13
EUR,Germany,DE11,Benepack,0003010406,Third Party,OTHER PACKAGING,PACKAGING,DIRECT,NB - Standard PO,HUARUIFENGQUAN Packaging Holdings Limited,2026-05,1,1,1,0,0,0,0,Y,12492.77,100.00,2026-07-13
EUR,Belgium,BE11,Benepack,0003010406,Third Party,CANS,PACKAGING,DIRECT,ZAB - Call-off,HUARUIFENGQUAN Packaging Holdings Limited,2026-07,32,20,20,0,0,0,0,Y,9592790.19,100.00,2026-07-13
EUR,Germany,DE11,Benepack,0003010406,Third Party,CANS,PACKAGING,DIRECT,ZAB - Call-off,HUARUIFENGQUAN Packaging Holdings Limited,2025-07,8,8,8,0,0,0,0,Y,98994.63,100.00,2026-07-13
EUR,Germany,DE11,Benepack,0003010406,Third Party,CANS,PACKAGING,DIRECT,ZAB - Call-off,HUARUIFENGQUAN Packaging Holdings Limited,2026-02,6,6,6,0,0,0,0,Y,76632.0,100.00,2026-07-13
EUR,Germany,DE11,Benepack,0003010406,Third Party,OTHER PACKAGING,PACKAGING,DIRECT,NB - Standard PO,HUARUIFENGQUAN Packaging Holdings Limited,2025-07,2,2,2,0,0,0,0,Y,47357.34,100.00,2026-07-13
EUR,Belgium,BE11,Benepack,0003010406,Third Party,OTHER PACKAGING,PACKAGING,DIRECT,NB - Standard PO,HUARUIFENGQUAN Packaging Holdings Limited,2026-02,5,5,5,0,0,0,0,Y,60081.72,100.00,2026-07-13
EUR,Belgium,BE11,Benepack,0003010406,Third Party,OTHER PACKAGING,PACKAGING,DIRECT,NB - Standard PO,HUARUIFENGQUAN Packaging Holdings Limited,2025-04,7,7,7,0,0,0,0,Y,370125.66,100.00,2026-07-13
EUR,Belgium,BE11,Benepack,0003010406,Third Party,CANS,PACKAGING,DIRECT,ZAB - Call-off,HUARUIFENGQUAN Packaging Holdings Limited,2026-04,58,58,58,0,0,0,0,Y,960621.44,100.00,2026-07-13
EUR,Germany,DE11,Benepack,0003010406,Third Party,CANS,PACKAGING,DIRECT,ZAB - Call-off,HUARUIFENGQUAN Packaging Holdings Limited,2025-10,13,13,13,0,0,0,0,Y,143500.47,100.00,2026-07-13
EUR,Germany,DE11,Benepack,0003010406,Third Party,CANS,PACKAGING,DIRECT,ZAB - Call-off,HUARUIFENGQUAN Packaging Holdings Limited,2025-08,14,14,14,0,0,0,0,Y,159409.44,100.00,2026-07-13
EUR,Germany,DE11,Benepack,0003010406,Third Party,OTHER PACKAGING,PACKAGING,DIRECT,NB - Standard PO,HUARUIFENGQUAN Packaging Holdings Limited,2025-10,2,2,2,0,0,0,0,Y,14295.77,100.00,2026-07-13
EUR,Germany,DE11,Benepack,0003010406,Third Party,CANS,PACKAGING,DIRECT,ZAB - Call-off,HUARUIFENGQUAN Packaging Holdings Limited,2025-09,10,9,9,0,1,0,0,Y,109911.31,90.09,2026-07-13
EUR,TRE,HQ06,Benepack,0003010406,Third Party,MARKETING,COMMERCIAL,INDIRECT,ZNB - Standard PO,HUARUIFENGQUAN Packaging Holdings Limited,2025-10,1,1,1,0,0,0,0,Y,1400.0,100.00,2026-07-13
EUR,Germany,DE11,Benepack,0003010406,Third Party,CANS,PACKAGING,DIRECT,ZAB - Call-off,HUARUIFENGQUAN Packaging Holdings Limited,2026-05,9,8,8,0,1,0,0,Y,80228.37,88.99,2026-07-13
EUR,Belgium,BE11,Benepack,0003010406,Third Party,OTHER PACKAGING,PACKAGING,DIRECT,NB - Standard PO,HUARUIFENGQUAN Packaging Holdings Limited,2026-05,2,2,2,0,0,0,0,Y,82394.16,100.00,2026-07-13
EUR,Germany,DE11,Benepack,0003010406,Third Party,OTHER PACKAGING,PACKAGING,DIRECT,NB - Standard PO,HUARUIFENGQUAN Packaging Holdings Limited,2025-04,4,4,4,0,0,0,0,Y,62597.83,100.00,2026-07-13
EUR,Italy,IT01,Benepack,0003010406,Third Party,MARKETING,COMMERCIAL,INDIRECT,ZNB - Standard PO,HUARUIFENGQUAN Packaging Holdings Limited,2026-02,1,1,1,0,0,0,0,Y,1200.0,100.00,2026-07-13
EUR,Belgium,BE11,Benepack,0003010406,Third Party,OTHER PACKAGING,PACKAGING,DIRECT,NB - Standard PO,HUARUIFENGQUAN Packaging Holdings Limited,2025-10,4,4,4,0,0,0,0,Y,154873.12,100.00,2026-07-13
