id,supplier,parentSupplier,zone,category,scorecard_category,kpiApplicability,eclipseScore,year
ecl-0,A to Z Logistics,ATOZ LOGISTICS LIMITED,APAC,,LOGISTICS,Applicable,0.200000,2025
ecl-1,ACCORD CARTON CO,ACCOR,NAZ,,DIRECT,Applicable,0.666000,2025
ecl-2,ACCREDO PACKAGING INC,ACCREDO PACKAGING INC,NAZ,,DIRECT,Applicable,0.141000,2025
ecl-3,AGI Glaspac/HSIL,AGI Glaspac/HSIL,APAC,,DIRECT,Applicable,0.373000,2025
ecl-4,AKZO,AKZO NOBEL,NAZ,,DIRECT,Applicable,0.800000,2025
ecl-5,AMCOR,AMCOR,MAZ,,DIRECT,Applicable,0.882000,2025
ecl-6,AMCOR,AMCOR,SAZ,,DIRECT,Applicable,0.882000,2025
ecl-7,AMERICAN COMMODITY COMPANY,AMERICAN COMMODITY COMPANY,NAZ,,DIRECT,Applicable,0.109000,2025
ecl-8,ARAMARK,ARAMARK,NAZ,,CAPEX,Applicable,0.160000,2025
ecl-9,ARCONIC CORPORATION,ARCONIC,NAZ,,DIRECT,Applicable,0.681000,2025
ecl-10,ATLANTIC PACKAGING,Atlantic Packaging Products Ltd,NAZ,,DIRECT,Applicable,0.718000,2025
ecl-11,Adecoagro,Kadesh Hispania S.L.,SAZ,,DIRECT,Applicable,0.841000,2025
ecl-12,Agraria,Agraria,SAZ,,DIRECT,Applicable,0.865000,2025
ecl-13,Alilang,Alilang,APAC,,DIRECT,Applicable,0.254000,2025
ecl-14,Apong,APONG NANJING PACKAGING & PRINTING,APAC,,DIRECT,Applicable,0.266000,2025
ecl-15,Ardagh Glass Packaging,ARDAGH GROUP,AFR,,DIRECT,Applicable,0.716000,2025
ecl-16,Ardagh Glass Packaging,ARDAGH GROUP,EUR,,DIRECT,Applicable,0.716000,2025
ecl-17,Ardagh Glass Packaging,ARDAGH GROUP,NAZ,,DIRECT,Applicable,0.716000,2025
ecl-18,Ardagh Metal Packaging,ARDAGH GROUP,EUR,,DIRECT,Applicable,0.882000,2025
ecl-19,Arglass,"Arglass, LLC",NAZ,,DIRECT,Applicable,0.217000,2025
ecl-20,Arrozeira Pelotas,ARROZEIRA PELOTAS,SAZ,,DIRECT,Applicable,0.210000,2025
ecl-21,Ashwini Logistics Solutions,Ashwini Logistics Solutions,APAC,,LOGISTICS,Applicable,0.365000,2025
ecl-22,Avangard,Avangard,GHQ,,DIRECT,Applicable,0.212000,2025
ecl-23,Avient,Avient Corporation,MAZ,,DIRECT,Applicable,0.224000,2025
ecl-24,Azucarera del Norte,AZUCARERA,MAZ,,DIRECT,Applicable,0.222000,2025
ecl-25,BERRY GLOBAL INC,"Berry Global, Inc.",NAZ,,DIRECT,Applicable,0.726000,2025
ecl-26,BN Pack,BN PACK CORRUGATED PRIVATE LIMITED,APAC,,DIRECT,Applicable,0.211000,2025
ecl-27,Ball,Ball,EUR,,DIRECT,Applicable,0.880000,2025
ecl-28,Ball,Ball,MAZ,,DIRECT,Applicable,0.880000,2025
ecl-29,Ball,Ball,NAZ,,DIRECT,Applicable,0.880000,2025
ecl-30,Ball,Ball,SAZ,,DIRECT,Applicable,0.880000,2025
ecl-31,Baosteel,Baosteel,APAC,,DIRECT,Applicable,0.672000,2025
ecl-32,Barmalt,PURE FEEDS AND FOODS PRIVATE LIMITED,APAC,,DIRECT,Applicable,0.370000,2025
ecl-33,Barth-Haas,JOH BARTH & SOHN,APAC,,DIRECT,Applicable,0.829000,2025
