id,supplier,parentSupplier,zone,country,category,scorecard_category,kpiApplicability,conformityPct,missingPo,wrongPo,wrongInvoice,totalInvoices,mismatchCount
ic-0,"""CHERNIHIV ETC LS"" LLC",CHERNIHIV ETC LS LLC,EUR,Ukraine,PEOPLE,BST,Applicable,1.000000,0,0,0,16,0
ic-1,"""INPLAST UKRAINE"" LTD",INPLAST UKRAINE LTD,EUR,Ukraine,OTHER CLOSURES,DIRECT,Applicable,1.000000,0,0,0,239,0
ic-2,"""ORION.GROUP"" LLC",ORION.GROUP LLC,EUR,Ukraine,MAINTENANCE,CAPEX,Applicable,1.000000,0,0,0,16,0
ic-3,"""SAATCHI&SAATCHI"" BRANCH OF ""ССМ""",SAATCHI&SAATCHI BRANCH OF Ð¡Ð¡Ð,EUR,Ukraine,MARKETING,COMMERCIAL,Applicable,1.000000,0,0,0,1,0
ic-4,"""STARCOM"" BRANCH OF ""CCM"" SE",PUBLICIS GROUPE,EUR,Ukraine,MARKETING,COMMERCIAL,Applicable,1.000000,0,0,0,60,0
ic-5,"""VULCASCOT"" LLC",VULCASCOT LLC,EUR,Ukraine,OTHER AUXILIARIES,DIRECT,Applicable,1.000000,0,0,0,15,0
ic-6,(USE 358914)SIGRIST-PHOTOMETER GMBH,Personalfürsorgestiftung der Sigrist-Photometer AG,EUR,Germany,MAINTENANCE,CAPEX,Applicable,1.000000,0,0,0,1,0
ic-7,(USE 358914)SIGRIST-PHOTOMETER GMBH,Personalfürsorgestiftung der Sigrist-Photometer AG,EUR,Luxembourg,MAINTENANCE,CAPEX,Applicable,1.000000,0,0,0,1,0
ic-8,(USE: 375546) Franziskus Grundstück,GABRIEL SEDLMAYR BETEILIGUNGSGES MBH & CO,EUR,Germany,LEASES AND RENTALS,BST,Applicable,1.000000,0,0,0,40,0
ic-9,"1,2,3 Marketing De Eventos Ltda","1,2,3 Marketing De Eventos Ltda",EUR,GHQ CH,MARKETING,COMMERCIAL,Applicable,1.000000,0,0,0,1,0
ic-10,1st Containers UK Limited,1ST CONTAINERS (UK) LIMITED,EUR,United Kingdom,LEASES AND RENTALS,BST,Applicable,1.000000,0,0,0,20,0
ic-11,2 DERJAVNIY POJEJNO-RYATUVALNIY,2 DERJAVNIY POJEJNO-RYATUVALNIY,EUR,Ukraine,FEES,BST,Applicable,1.000000,0,0,0,9,0
ic-12,2 SIGN & SAFE,2 SIGN & SAFE,EUR,Belgium,OFFICE UTILITIES,BST,Applicable,1.000000,0,0,0,1,0
ic-13,"2.DSP, s.r.o.","BARCELO CORPORACION EMPRESARIAL, SA",EUR,BSC CZ,TRAVEL,BST,Applicable,1.000000,0,0,0,4,0
ic-14,"2.DSP, s.r.o.","BARCELO CORPORACION EMPRESARIAL, SA",EUR,Belgium,TRAVEL,BST,Applicable,1.000000,0,0,0,3,0
ic-15,21 AGENCY,21 AGENCY,EUR,Belgium,SALES,COMMERCIAL,Applicable,1.000000,0,0,0,44,0
ic-16,21 AGENCY,21 AGENCY,EUR,Netherlands,SALES,COMMERCIAL,Applicable,1.000000,0,0,0,12,0
ic-17,21st Bio,21st.Bio A/S,EUR,GHQ BE,SERVICES,BST,Applicable,1.000000,0,0,0,1,0
ic-18,2D SOLUTIONS SARLS,2D SOLUTIONS SARLS,EUR,Belgium,MAINTENANCE,CAPEX,Applicable,1.000000,0,0,0,214,0
ic-19,2D SOLUTIONS SARLS,2D SOLUTIONS SARLS,EUR,Netherlands,MAINTENANCE,CAPEX,Applicable,1.000000,0,0,0,10,0
ic-20,2WR COMERCIO DE ARTIGOS ESPORTIVOS,2WR COMERCIO DE ARTIGOS ESPORTIVOS,EUR,GHQ CH,MARKETING,COMMERCIAL,Applicable,1.000000,0,0,0,3,0
ic-21,3hoog bv,Obelisk Group,EUR,Belgium,INSTITUTIONAL,BST,Applicable,1.000000,0,0,0,23,0
ic-22,3x3 Event GmbH,3x3 Event GmbH,EUR,Austria,SALES,COMMERCIAL,Applicable,1.000000,0,0,0,2,0
ic-23,4 ALL CARS,4 ALL CARS,EUR,Belgium,FRIDGES & COOLERS,COMMERCIAL,Applicable,1.000000,0,0,0,2,0
ic-24,4Fleet Group GmbH,The Goodyear Tire & Rubber Company,EUR,Germany,LEASES AND RENTALS,BST,Applicable,1.000000,0,0,0,372,0
ic-25,4S,4S,EUR,Belgium,LOGISTICS SUPPORT,LOGISTICS,Applicable,1.000000,0,0,0,5,0
ic-26,4Side Solutions Limited,4Side Solutions Limited,EUR,Belgium,LOGISTICS SUPPORT,LOGISTICS,Applicable,1.000000,0,0,0,2,0
ic-27,4Side Solutions Limited,4Side Solutions Limited,EUR,United Kingdom,LOGISTICS SUPPORT,LOGISTICS,Applicable,1.000000,0,0,0,2,0
ic-28,55 Minutos Ltda,55 Minutos Ltda,EUR,GHQ CH,INSTITUTIONAL,BST,Applicable,1.000000,0,0,0,5,0
ic-29,55 NORTH LIMITED,55 NORTH LIMITED,EUR,United Kingdom,SALES,COMMERCIAL,Applicable,1.000000,0,0,0,5,0
ic-30,5Dsolutions GmbH,5Dsolutions GmbH,EUR,Germany,SALES,COMMERCIAL,Applicable,1.000000,0,0,0,1,0
ic-31,6866051 Canada Inc.,6866051 Canada Inc.,EUR,GHQ CH,TECHNOLOGY,BST,Applicable,1.000000,0,0,0,1,0
ic-32,829 Studios,829 Studios,EUR,GHQ CH,MARKETING,COMMERCIAL,Applicable,1.000000,0,0,0,2,0
ic-33,84codes AB,84CODES AB,EUR,GHQ CH,TECHNOLOGY,BST,Applicable,1.000000,0,0,0,170,0
ic-34,84codes AB,84root AB,EUR,Belgium,TECHNOLOGY,BST,Applicable,1.000000,0,0,0,14,0
ic-35,A & C Plastic Kunstoff,Alimex GmbH,EUR,Germany,FILMS,DIRECT,Applicable,1.000000,0,0,0,9,0
ic-36,A Software Comapny (DX),A Software Comapny (DX),EUR,GHQ CH,TECHNOLOGY,BST,Applicable,1.000000,0,0,0,2,0
ic-37,A&W das Müller OG,A&W das Müller OG,EUR,Austria,SALES,COMMERCIAL,Applicable,1.000000,0,0,0,1,0
ic-38,A+B Pertler GmbH,A+B Pertler GmbH,EUR,Germany,SALES,COMMERCIAL,Applicable,1.000000,0,0,0,1,0
ic-39,A-R-S Abwassertechnik,A-R-S Abwassertechnik,EUR,Germany,SALES,COMMERCIAL,Applicable,1.000000,0,0,0,1,0
ic-40,A-Safe,A-Safe,EUR,Belgium,MAINTENANCE,CAPEX,Applicable,1.000000,0,0,0,2,0
ic-41,A-Safe B.V.,A-Safe B.V.,EUR,Netherlands,LOGISTICS SUPPORT,LOGISTICS,Applicable,1.000000,0,0,0,3,0
ic-42,A-Tek Northwest Ltd,A-Tek Northwest Ltd,EUR,United Kingdom,MAINTENANCE,CAPEX,Applicable,1.000000,0,0,0,26,0
ic-43,A. Eicke,A. Eicke,EUR,Germany,MAINTENANCE,CAPEX,Applicable,1.000000,0,0,0,1,0
ic-44,A. Nabuurs & T. Nabuurs,A. Nabuurs & T. Nabuurs,EUR,Netherlands,LOGISTICS SUPPORT,LOGISTICS,Applicable,1.000000,0,0,0,2,0
ic-45,A.B.M. (atelier belge de la,RICHEMON GROUP INTERNATIONAL II,EUR,Belgium,MAINTENANCE,CAPEX,Applicable,1.000000,0,0,0,65,0
ic-46,A.Bauer Inh. L. Gruczek,A.Bauer Inh. L. Gruczek,EUR,Germany,MAINTENANCE,CAPEX,Applicable,1.000000,0,0,0,48,0
ic-47,A.C. Nielsen of Ireland Limited,A.C. Nielsen of Ireland Limited,EUR,Ireland,SALES,COMMERCIAL,Applicable,1.000000,0,0,0,14,0
ic-48,A.C.E.M. de Backer,A.C.E.M. de Backer,EUR,Netherlands,SALES,COMMERCIAL,Applicable,1.000000,0,0,0,4,0
ic-49,A.I.D.E.,A.I.D.E.,EUR,Belgium,MAINTENANCE,CAPEX,Applicable,1.000000,0,0,0,1,0
ic-50,A.M. Handel & Promotion GmbH,A.M. Handel & Promotion GmbH,EUR,Germany,SALES,COMMERCIAL,Applicable,1.000000,0,0,0,3,0
ic-51,A.M.U Beratung Ing- Büro Schünzel,A.M.U Beratung Ing- Büro Schünzel,EUR,Germany,FEES,BST,Applicable,1.000000,0,0,0,7,0
ic-52,A.RCO P. NEWS,A.RCO P. NEWS,EUR,Belgium,FEES,BST,Applicable,1.000000,0,0,0,1,0
ic-53,A.T. Kearney (International) AG,A.T. Kearney (International) AG,EUR,GHQ CH,FEES,BST,Applicable,1.000000,0,0,0,1,0
ic-54,A.T.I. Industrie,EIFFAGE,EUR,Belgium,TECHNOLOGY,BST,Applicable,1.000000,0,0,0,33,0
ic-55,A1 streamline Road Markings Ltd,A1 streamline Road Markings Ltd,EUR,United Kingdom,MAINTENANCE,CAPEX,Applicable,1.000000,0,0,0,8,0
ic-56,A2-FORUM MANAGEMENT GMBH,A2-FORUM MANAGEMENT GMBH,EUR,Germany,SALES,COMMERCIAL,Applicable,1.000000,0,0,0,1,0
ic-57,A7 Comms LLC,A7 Comms LLC,EUR,GHQ CH,MARKETING,COMMERCIAL,Applicable,1.000000,0,0,0,2,0
ic-58,AANNEMERSBEDRIJF BREEBERG,DITER SOTO TORRICO,EUR,Netherlands,MAINTENANCE,CAPEX,Applicable,1.000000,0,0,0,18,0
ic-59,AANNEMERSBEDRIJF VAN RIJSWIJCK B.V.,Stichting Administratiekantoor Van Rijswijck Groep,EUR,Netherlands,SALES,COMMERCIAL,Applicable,1.000000,0,0,0,50,0
ic-60,AAX Gebäudeservice GmbH,AAX Gebäudeservice GmbH,EUR,Germany,SALES,COMMERCIAL,Applicable,1.000000,0,0,0,4,0
ic-61,AB Blåkläder Belgium,AB Blåkläder,EUR,Belgium,PEOPLE,BST,Applicable,1.000000,0,0,0,399,0
ic-62,AB Blåkläder Belgium,AB Blåkläder,EUR,GHQ BE,PEOPLE,BST,Applicable,1.000000,0,0,0,4,0
ic-63,AB Blåkläder Belgium,AB Blåkläder,EUR,Germany,PEOPLE,BST,Applicable,1.000000,0,0,0,253,0
ic-64,AB Blåkläder Belgium,AB Blåkläder,EUR,Luxembourg,PEOPLE,BST,Applicable,1.000000,0,0,0,18,0
ic-65,AB Blåkläder Belgium,AB Blåkläder,EUR,Netherlands,PEOPLE,BST,Applicable,1.000000,0,0,0,90,0
