id,supplier,parentSupplier,zone,country,category,kpiApplicability,poValue,invoiceValue,divergencePct,year,month
pd-0,Riedel,,EUR,The Netherlands,FINISHED PRODUCTS,Applicable,765.83,765.96,0.000170,2020,5
pd-1,ARVAL BELGIUM,BNP PARIBAS,EUR,Belgium,LOGISTICS,Applicable,2500.00,2500.00,0.000000,2022,1
pd-2,REYNDERS ETIKETTEN,,EUR,France,PACKAGING,Applicable,402.24,402.24,0.000000,2022,12
pd-3,BREUER-ANTOINE,Antoine Invest,EUR,Belgium,LOGISTICS,Applicable,1554.23,1554.23,0.000000,2022,7
pd-4,BREUER-ANTOINE,Antoine Invest,EUR,Belgium,LOGISTICS,Applicable,507.44,507.44,0.000000,2022,9
pd-5,Stow (UK) ltd.,Stow International,EUR,United Kingdom,LOGISTICS,Applicable,979.00,979.00,0.000000,2022,9
pd-6,BULLMAN,Goeyens Finances,EUR,Belgium,LOGISTICS,Applicable,847.06,847.06,0.000000,2023,11
pd-7,Sirl Interaktive Logistik GmbH,VENKO Vermögensverwaltung GmbH,EUR,Germany,LOGISTICS,Applicable,624.34,624.34,0.000000,2023,11
pd-8,Garage Marcel Verhelst en zoon bv,,EUR,Belgium,LOGISTICS,Applicable,402.20,405.20,0.007459,2023,12
pd-9,BREUER-ANTOINE,Antoine Invest,EUR,Belgium,LOGISTICS,Applicable,588.57,588.57,0.000000,2023,6
pd-10,O-I Netherlands B.V.,OI GLOBAL,EUR,Belgium,FOLDING CARTONS,Applicable,840.00,840.00,0.000000,2023,7
pd-11,AJINOMOTO OMNICHEM,"AJINOMOTO CO., INC.",EUR,Belgium,OTHER AUXILIARIES,Applicable,2615.00,2615.00,0.000000,2023,9
pd-12,DLL,SUPERLIFT HOLDING,EUR,Belgium,LOGISTICS,Applicable,14755.65,14755.65,0.000000,2023,9
pd-13,BULLMAN,Goeyens Finances,EUR,Belgium,LOGISTICS,Applicable,146.70,146.70,0.000000,2024,10
pd-14,Duvenbeck Transport,Logistics Holding B.V.,EUR,Germany,LOGISTICS,Applicable,1220.00,1220.00,0.000000,2024,10
pd-15,HAFFMANS BV,PENTAIR PUBLIC LIMITED COMPANY,EUR,Germany,LOGISTICS,Applicable,746.00,746.00,0.000000,2024,10
pd-16,HAFFMANS BV,PENTAIR PUBLIC LIMITED COMPANY,EUR,Germany,MAINTENANCE,Applicable,1639.00,1639.00,0.000000,2024,10
pd-17,RLBS Ltd,SAMUEL HODGE HOLDINGS LIMITED,EUR,United Kingdom,BEER DISPENSE MATERIALS,Applicable,100.00,100.00,0.000000,2024,10
pd-18,Topcold NV,Tefcold Holding ApS,EUR,Belgium,LOGISTICS,Applicable,220.00,220.00,0.000000,2024,10
pd-19,BLS labeling&logistic service Gmbh,BLS Labeling and Logistic Service GmbH,EUR,Germany,LOGISTICS,Applicable,2326.44,2326.44,0.000000,2024,11
pd-20,Doktor Cargo GmbH,Doktor Cargo GmbH,EUR,Germany,LOGISTICS,Applicable,3422.78,3422.78,0.000000,2024,11
pd-21,Duvenbeck Transport,Logistics Holding B.V.,EUR,Germany,LOGISTICS,Applicable,18613.43,18613.43,0.000000,2024,11
pd-22,GEODIS BM NETHERLANDS BV,AGENCE DES PARTICIPATIONS DE L'ETAT,EUR,Belgium,LOGISTICS,Applicable,750.00,750.00,0.000000,2024,11
pd-23,Weser-Trans Bremen GmbH,L.I.T. AG,EUR,Germany,LOGISTICS,Applicable,1100.00,1100.00,0.000000,2024,11
pd-24,BLS labeling&logistic service Gmbh,BLS Labeling and Logistic Service GmbH,EUR,Germany,LOGISTICS,Applicable,200.00,200.00,0.000000,2024,12
pd-25,Doktor Cargo GmbH,Doktor Cargo GmbH,EUR,Germany,LOGISTICS,Applicable,7673.01,7673.01,0.000000,2024,12
pd-26,Duvenbeck Transport,Logistics Holding B.V.,EUR,Germany,LOGISTICS,Applicable,7801.00,7801.00,0.000000,2024,12
pd-27,Weser-Trans Bremen GmbH,L.I.T. AG,EUR,Germany,LOGISTICS,Applicable,1050.00,1050.00,0.000000,2024,12
pd-28,B & G NEDERLAND BV,,EUR,The Netherlands,LOGISTICS,Applicable,335.53,1006.59,2.000000,2024,3
pd-29,REYNDERS ETIKETTEN,,EUR,The Netherlands,LABELS,Applicable,6629.50,13259.00,1.000000,2024,4
pd-30,Duvenbeck Transport,Logistics Holding B.V.,EUR,Germany,LOGISTICS,Applicable,715.00,715.00,0.000000,2024,5
pd-31,GKS Gerloff Speditionsgesellschaft,,EUR,Germany,LOGISTICS,Applicable,908.81,908.81,0.000000,2024,5
pd-32,LInde MH UK Limited,KION GROUP,EUR,United Kingdom,LOGISTICS,Applicable,582.66,582.66,0.000000,2024,5
pd-33,Trailercare,,EUR,United Kingdom,LOGISTICS,Applicable,203.50,203.50,0.000000,2024,5
pd-34,Aeropur,,EUR,Germany,LOGISTICS,Applicable,6770.50,6770.50,0.000000,2024,6
pd-35,Duvenbeck Transport,Logistics Holding B.V.,EUR,Germany,LOGISTICS,Applicable,3931.00,3931.00,0.000000,2024,6
pd-36,Nickel & Goeldner Spedition Gm,Nickel & Goeldner Spedition GmbH,EUR,Germany,LOGISTICS,Applicable,7150.00,7150.00,0.000000,2024,6
pd-37,Weser-Trans Bremen GmbH,L.I.T. AG,EUR,Germany,LOGISTICS,Applicable,3500.00,3500.00,0.000000,2024,6
pd-38,Duvenbeck Transport,Logistics Holding B.V.,EUR,Germany,LOGISTICS,Applicable,1080.00,1080.00,0.000000,2024,7
pd-39,GKS Gerloff Speditionsgesellschaft,,EUR,Germany,LOGISTICS,Applicable,2768.64,2768.64,0.000000,2024,7
pd-40,Sirl Interaktive Logistik GmbH,VENKO Vermögensverwaltung GmbH,EUR,Germany,LOGISTICS,Applicable,1200.00,1200.00,0.000000,2024,7
pd-41,Weser-Trans Bremen GmbH,L.I.T. AG,EUR,Germany,LOGISTICS,Applicable,2800.00,2800.00,0.000000,2024,7
