id,supplier,parentSupplier,zone,country,category,scorecard_category,kpiApplicability,supplierApprovalStatus,greenCount,yellowCount,redCount,naCount,blankCount,year
sa-0,A & C Plastic,Alimex GmbH,EUR,Germany,Packaging Materials,DIRECT,Applicable,Approved,1,0,0,0,0,2026
sa-1,A M QUIMICA INDUSTRIA E COMERCIO,A M QUIMICA INDUSTRIA E COMERCIO DE PRODUTOS QUIMICO,SAZ,Brazil,Raw Materials,DIRECT,Applicable,Approved,1,0,0,0,0,2026
sa-2,A Madeireira Industria e Comercio,A MADEIREIRA,SAZ,Brazil,Packaging Materials,DIRECT,Applicable,Approved,3,0,0,0,0,2026
sa-3,A S C BATISTA E CIA LTDA,A S C BATISTA,SAZ,Brazil,Packaging Materials,DIRECT,Applicable,Not Approved,0,0,0,0,1,2026
sa-4,A erradero San Vicente E.I.R.L.,A erradero San Vicente E.I.R.L.,SAZ,Chile,Packaging Materials,DIRECT,Applicable,Not Approved,0,0,0,0,1,2026
sa-5,A&D Químicos,A&D Químicos,MAZ,Peru,Raw Materials,DIRECT,Applicable,Not Approved,1,0,0,0,0,2026
sa-6,AB InBev,AB InBev,GHQ,United States,Raw Materials,DIRECT,Applicable,Approved,1,0,0,0,0,2026
sa-7,ABA,"Aba, S.A. de C.V.",MAZ,Mexico,Packaging Materials,DIRECT,Applicable,Approved,1,0,0,0,0,2026
sa-8,ABC Labels,ABC Labels,EUR,Belgium,Packaging Materials,DIRECT,Applicable,Not Approved,0,0,0,0,1,2026
sa-9,ABI,ABI,AFR,South Africa,Raw Materials,DIRECT,Applicable,Approved,0,2,0,0,0,2026
sa-10,ABI,ABI,AFR,Tanzania,Raw Materials,DIRECT,Applicable,Approved,0,1,0,0,0,2026
sa-11,ABI,ABI,AFR,Uganda,Raw Materials,DIRECT,Applicable,Approved,1,0,0,0,0,2026
sa-12,ABI,ABI,AFR,Zambia,Raw Materials,DIRECT,Applicable,Approved,0,1,0,0,0,2026
sa-13,ABI,ABI,APAC,Republic of Korea,Raw Materials,DIRECT,Applicable,Approved,0,1,0,0,0,2026
sa-14,ABI,ABI,SAZ,Argentina,Raw Materials,DIRECT,Applicable,Approved,7,0,0,0,0,2026
sa-15,ABI,ABI,SAZ,Bolivia,Packaging Materials,DIRECT,Applicable,Approved,1,0,0,0,0,2026
sa-16,ABI,ABI,SAZ,Bolivia,Raw Materials,DIRECT,Applicable,Approved,2,0,0,0,0,2026
sa-17,ABI,ABI,SAZ,Brazil,Raw Materials,DIRECT,Applicable,Approved,2,0,0,0,0,2026
sa-18,ABI,ABI,SAZ,Paraguay,Raw Materials,DIRECT,Applicable,Approved,1,0,0,0,0,2026
sa-19,ABI,ABI,SAZ,Uruguay,Raw Materials,DIRECT,Applicable,Approved,3,0,0,0,0,2026
sa-20,ACEFLEX DO NORDESTE LTDA,ACEFLEX DO NORDESTE LTDA,SAZ,Brazil,Packaging Materials,DIRECT,Applicable,Not Approved,0,0,0,0,1,2026
sa-21,ACHERNAR S.A.,SATO CORPORATION,SAZ,Argentina,Packaging Materials,DIRECT,Applicable,Approved,1,0,0,0,0,2026
sa-22,ACSUR SOCIEDAD ANONIMA,ACSUR SOCIEDAD ANONIMA,SAZ,Argentina,Packaging Materials,DIRECT,Applicable,Not Approved,0,0,0,0,1,2026
sa-23,ACT INDUSTRIA E COMERCIO LTDA,ACT INDUSTRIA E COMERCIO LTDA,SAZ,Brazil,Raw Materials,DIRECT,Applicable,Approved,1,0,0,0,0,2026
sa-24,ACURA TECHNOLOGIES LTDA,ASSA ABLOY BRASIL INDUSTRIA E COMERCIO LTDA,SAZ,Brazil,Packaging Materials,DIRECT,Applicable,Not Approved,0,0,0,0,1,2026
sa-25,ADAMA SA,ADAMA SA,SAZ,Argentina,Raw Materials,DIRECT,Applicable,Not Approved,0,0,0,0,1,2026
sa-26,ADECOAGRO PILAGA FRANCK,Kadesh Hispania S.L.,SAZ,Argentina,Raw Materials,DIRECT,Applicable,Approved,1,0,0,0,0,2026
sa-27,ADECOAGRO PILAGA MERCEDES,Kadesh Hispania S.L.,SAZ,Argentina,Raw Materials,DIRECT,Applicable,Approved,0,1,0,0,0,2026
sa-28,ADEL COCO BRASIL INDUSTRIA E,ADEL COCO BRASIL INDUSTRIA E COMERCIO LTDA,SAZ,Brazil,Raw Materials,DIRECT,Applicable,Approved,1,0,0,0,0,2026
sa-29,ADHETEC LTDA.,ADHETEC,SAZ,Bolivia,Packaging Materials,DIRECT,Applicable,Approved,1,0,0,0,0,2026
sa-30,ADITIVOS ALIMENTARIOS SRL,ADITIVOS ALIMENTARIOS SRL,SAZ,Argentina,Raw Materials,DIRECT,Applicable,Approved,1,0,0,0,0,2026
sa-31,ADM,ADM,AFR,Australia,Raw Materials,DIRECT,Applicable,Not Approved,0,0,0,0,1,2026
sa-32,ADM,ADM,EUR,France,Raw Materials,DIRECT,Applicable,Not Approved,0,0,0,0,1,2026
sa-33,ADM,ADM,MAZ,,Raw Materials,DIRECT,Applicable,Potential Supplier,0,0,0,0,1,2026
sa-34,ADM,ADM,MAZ,Colombia,Raw Materials,DIRECT,Applicable,Not Approved,0,0,0,0,1,2026
sa-35,ADM,ADM,MAZ,Panama,Raw Materials,DIRECT,Applicable,Approved,1,0,0,0,0,2026
sa-36,ADM,ADM,NAZ,United States,Raw Materials,DIRECT,Applicable,Approved,1,0,0,0,0,2026
sa-37,ADM,ADM,NAZ,United States,Raw Materials,DIRECT,Applicable,Not Approved,3,0,0,0,2,2026
sa-38,ADM Wild GmbH- Berlin,ADM Wild GmbH- Berlin,EUR,Germany,Raw Materials,DIRECT,Applicable,Approved for Trials,0,0,0,0,1,2026
sa-39,AEB BIOQUIMICA LATINO AMERICANA SA,AEB BIOQUIMICA LATINO AMERICANA SA,SAZ,Brazil,Raw Materials,DIRECT,Applicable,Approved,1,0,0,0,0,2026
sa-40,AEP Colloids,AEP Colloids,NAZ,United States,Raw Materials,DIRECT,Applicable,Approved,1,0,0,0,0,2026
