id,supplier,parentSupplier,zone,country,category,kpiApplicability,supplierApprovalStatus,compliancePct,year
sc-0,A & C Plastic - Eschweiler,Alimex GmbH,EUR,Germany,Packaging Materials,Applicable,Approved,1.000000,2026
sc-1,A M QUIMICA INDUSTRIA E COMERCIO,A M QUIMICA INDUSTRIA E COMERCIO DE PRODUTOS QUIMICO,SAZ,Brazil,Raw Materials,Applicable,Approved,0.500000,2026
sc-2,A Madeireira Industria e Comercio - Abreu e Lima,A MADEIREIRA,SAZ,Brazil,Packaging Materials,Applicable,Approved,1.000000,2026
sc-3,A Madeireira Industria e Comercio - Santa Maria De Jetiba,A MADEIREIRA,SAZ,Brazil,Packaging Materials,Applicable,Approved,1.000000,2026
sc-4,A Madeireira Industria e Comercio - Simoes Filho,A MADEIREIRA,SAZ,Brazil,Packaging Materials,Applicable,Approved,1.000000,2026
sc-5,A S C BATISTA E CIA LTDA,A S C BATISTA,SAZ,Brazil,Packaging Materials,Applicable,Not Approved,,2026
sc-6,A&D Químicos - Lima,,MAZ,Peru,Raw Materials,Applicable,Not Approved,0.000000,2026
sc-7,AB InBev - Test Supplier,,GLOBAL,United States,Raw Materials,Applicable,Approved,0.000000,2026
sc-8,ABA - Toluca,"Aba, S.A. de C.V.",MAZ,Mexico,Packaging Materials,Applicable,Approved,1.000000,2026
sc-9,ABC Labels - Kuurne,,EUR,Belgium,Packaging Materials,Applicable,Not Approved,0.000000,2026
sc-10,ABI - Acheral,,SAZ,Argentina,Raw Materials,Applicable,Approved,1.000000,2026
sc-11,ABI - Alrode,,AFR,South Africa,Raw Materials,Applicable,Approved,1.000000,2026
sc-12,ABI - Caledon,,AFR,South Africa,Raw Materials,Applicable,Approved,1.000000,2026
sc-13,ABI - Cheongju,,APAC,Republic of Korea,Raw Materials,Applicable,Approved,0.300000,2026
sc-14,ABI - Corrientes,,SAZ,Argentina,Raw Materials,Applicable,Approved,1.000000,2026
sc-15,ABI - Jinja,,AFR,Uganda,Raw Materials,Applicable,Approved,0.250000,2026
sc-16,ABI - La Paz,,SAZ,Bolivia,Raw Materials,Applicable,Approved,1.000000,2026
sc-17,ABI - Lusaka,,AFR,Zambia,Raw Materials,Applicable,Approved,0.800000,2026
sc-18,ABI - Mendoza,,SAZ,Argentina,Raw Materials,Applicable,Approved,1.000000,2026
sc-19,ABI - Montevideo,,SAZ,Uruguay,Raw Materials,Applicable,Approved,1.000000,2026
sc-20,ABI - Moshi,,AFR,Tanzania,Raw Materials,Applicable,Approved,1.000000,2026
sc-21,ABI - Navegantes,,SAZ,Brazil,Raw Materials,Applicable,Approved,1.000000,2026
sc-22,ABI - Nueva Palmira (Musa),,SAZ,Uruguay,Raw Materials,Applicable,Approved,1.000000,2026
sc-23,ABI - Oruro (ENALBO),,SAZ,Bolivia,Packaging Materials,Applicable,Approved,1.000000,2026
sc-24,ABI - Pampa (Puan),,SAZ,Argentina,Raw Materials,Applicable,Approved,0.800000,2026
sc-25,ABI - Passo Fundo,,SAZ,Brazil,Raw Materials,Applicable,Approved,1.000000,2026
sc-26,ABI - Paysandu (Cympay),,SAZ,Uruguay,Raw Materials,Applicable,Approved,1.000000,2026
sc-27,ABI - Quilmes,,SAZ,Argentina,Raw Materials,Applicable,Approved,1.000000,2026
sc-28,ABI - Santa Cruz,,SAZ,Bolivia,Raw Materials,Applicable,Approved,1.000000,2026
sc-29,ABI - Tres Arroyos,,SAZ,Argentina,Raw Materials,Applicable,Approved,1.000000,2026
sc-30,ABI - Ypane (Cervepar),,SAZ,Paraguay,Raw Materials,Applicable,Approved,1.000000,2026
sc-31,ABI - Zarate,,SAZ,Argentina,Raw Materials,Applicable,Approved,1.000000,2026
sc-32,ACEFLEX DO NORDESTE LTDA - FEIRA DE SANTANA,,SAZ,Brazil,Packaging Materials,Applicable,Not Approved,0.000000,2026
sc-33,ACHERNAR S.A. - C.A.B.A,SATO CORPORATION,SAZ,Argentina,Packaging Materials,Applicable,Approved,1.000000,2026
sc-34,ACSUR SOCIEDAD ANONIMA - BARRIO : PARQUE INDUSTRIAL  - RIO G,,SAZ,Argentina,Packaging Materials,Applicable,Not Approved,0.160000,2026
sc-35,ACT INDUSTRIA E COMERCIO LTDA - CURITIBA,ACT INDUSTRIA E COMERCIO LTDA,SAZ,Brazil,Raw Materials,Applicable,Approved,1.000000,2026
sc-36,ACURA TECHNOLOGIES LTDA - EXTREMA,ACURA TECHNOLOGIES LTDA,SAZ,Brazil,Packaging Materials,Applicable,Not Approved,1.000000,2026
sc-37,ADAMA SA - CAPITAL FEDERAL,,SAZ,Argentina,Raw Materials,Applicable,Not Approved,0.000000,2026
sc-38,ADECOAGRO PILAGA FRANCK,Kadesh Hispania S.L.,SAZ,Argentina,Raw Materials,Applicable,Approved,0.830000,2026
sc-39,ADECOAGRO PILAGA MERCEDES,Kadesh Hispania S.L.,SAZ,Argentina,Raw Materials,Applicable,Approved,0.500000,2026
sc-40,ADEL COCO BRASIL INDUSTRIA E - TRAIRI,ADEL COCO BRASIL INDUSTRIA E COMERCIO LTDA,SAZ,Brazil,Raw Materials,Applicable,Approved,0.660000,2026
sc-41,ADHETEC LTDA. - Santa Cruz,ADHETEC,SAZ,Bolivia,Packaging Materials,Applicable,Approved,0.000000,2026
sc-42,ADITIVOS ALIMENTARIOS SRL - CIUDAD AUTONOMA DE BUENOS - ELBAHIENSE,,SAZ,Argentina,Raw Materials,Applicable,Approved,1.000000,2026
sc-43,ADM - Adelaide,,AFR,Australia,Raw Materials,Applicable,Not Approved,0.000000,2026
sc-44,ADM - Arbuckle,,NAZ,United States,Raw Materials,Applicable,Approved,0.750000,2026
sc-45,ADM - Bazancourt,,EUR,France,Raw Materials,Applicable,Not Approved,0.000000,2026
sc-46,ADM - Brasil,ADM,MAZ,,Raw Materials,Applicable,Potential Supplier,0.000000,2026
sc-47,ADM - Cedar Rapids,,NAZ,United States,Raw Materials,Applicable,Not Approved,0.000000,2026
sc-48,ADM - Chattanooga,,NAZ,United States,Raw Materials,Applicable,Not Approved,0.800000,2026
sc-49,ADM - Colombia,ADM,MAZ,Colombia,Raw Materials,Applicable,Not Approved,0.000000,2026
sc-50,ADM - Jackson,,NAZ,United States,Raw Materials,Applicable,Not Approved,0.000000,2026
sc-51,ADM - Marshall,,NAZ,United States,Raw Materials,Applicable,Not Approved,1.000000,2026
sc-52,ADM - Panama,ADM,MAZ,Panama,Raw Materials,Applicable,Approved,0.750000,2026
sc-53,ADM - Salt Lake City,,NAZ,United States,Raw Materials,Applicable,Not Approved,0.200000,2026
sc-54,ADM Wild GmbH- Berlin,,EUR,Germany,Raw Materials,Applicable,Approved for Trials,0.600000,2026
sc-55,AEB BIOQUIMICA LATINO AMERICANA SA - SAO JOSE DOS PINHAIS,AEB BIOQUIMICA LATINO AMERICANA SA,SAZ,Brazil,Raw Materials,Applicable,Approved,1.000000,2026
sc-56,AEP Colloids - Hadley,,NAZ,United States,Raw Materials,Applicable,Approved,1.000000,2026
sc-57,AFEX - Corporate,,AFR,Nigeria,Raw Materials,Applicable,Approved,0.500000,2026
