s_no,mapping_main_category,source_main_category,pillar_name,pillar_id,kpi_display_name,source_kpi_id,mapping_status
1,Direct Category,Directs,Service Level,SERVICE_LEVEL,quality_cars,quality_cars,CONFIRMED
2,Direct Category,Directs,Service Level,SERVICE_LEVEL,quality_documentation,quality_documentation,CONFIRMED
3,Direct Category,Directs,Service Level,SERVICE_LEVEL,OTIF,otif,CONFIRMED
4,Direct Category,Directs,Service Level,SERVICE_LEVEL,Order Acceptance %,order_acceptance_rate,CONFIRMED
5,Direct Category,Directs,Operational,OPERATIONAL,Invoice Compliance,invoice_compliance_po_not_found,CONFIRMED
6,Direct Category,Directs,Operational,OPERATIONAL,Price Divergence,price,CONFIRMED
7,Direct Category,Directs,Sustainability,SUSTAINABILITY,Acceptance Term,acceptance_term,CONFIRMED
8,Direct Category,Directs,Sustainability,SUSTAINABILITY,Eclipse,eclipse_adherence,CONFIRMED
9,Direct Category,Directs,Value Creation,VALUE_CREATION,Cost,cost,CONFIRMED
10,Direct Category,Directs,Value Creation,VALUE_CREATION,Cash,cash_flow,CONFIRMED
11,Direct Category,Directs,Value Creation,VALUE_CREATION,Engagement,engagement,CONFIRMED
12,Brand Commercial,Brand Commercials,Service Level,SERVICE_LEVEL,NPS,nps,CONFIRMED
13,Brand Commercial,Brand Commercials,Service Level,SERVICE_LEVEL,Ratio / Prod,ratio_prod,CONFIRMED
14,Brand Commercial,Brand Commercials,Service Level,SERVICE_LEVEL,Media Tool,media_tools,CONFIRMED
15,Brand Commercial,Brand Commercials,Service Level,SERVICE_LEVEL,CAC,cac,CONFIRMED
16,Brand Commercial,Brand Commercials,Service Level,SERVICE_LEVEL,CPO,cpo,CONFIRMED
17,Brand Commercial,Brand Commercials,Service Level,SERVICE_LEVEL,Extra Cost,extra_cost,CONFIRMED
18,Brand Commercial,Brand Commercials,Operational,OPERATIONAL,Media System,media_system,CONFIRMED
19,Brand Commercial,Brand Commercials,Sustainability,SUSTAINABILITY,Acceptance Term,acceptance_term,CONFIRMED
20,Brand Commercial,Brand Commercials,Value Creation,VALUE_CREATION,Cost,cost,CONFIRMED
21,Brand Commercial,Brand Commercials,Value Creation,VALUE_CREATION,Cash,cash_flow,CONFIRMED
22,Brand Commercial,Brand Commercials,Value Creation,VALUE_CREATION,Engagement,engagement,CONFIRMED
23,Brand Act Commercial,Brand Act Commercial,Service Level,SERVICE_LEVEL,On Time (Production),ontime_production,CONFIRMED
24,Brand Act Commercial,Brand Act Commercial,Service Level,SERVICE_LEVEL,Recall,recall,CONFIRMED
25,Brand Act Commercial,Brand Act Commercial,Service Level,SERVICE_LEVEL,Recall On Time,recall_ontime,CONFIRMED
26,Brand Act Commercial,Brand Act Commercial,Service Level,SERVICE_LEVEL,Quality (Recall + Recall On Time),quality_recall_ontime_recall,CONFIRMED
27,Brand Act Commercial,Brand Act Commercial,Service Level,SERVICE_LEVEL,Documents not OK - Media System,docs_nok_media_system,CONFIRMED
28,Brand Act Commercial,Brand Act Commercial,Service Level,SERVICE_LEVEL,Contract Compliance,contract_compliance,CONFIRMED
29,Brand Act Commercial,Brand Act Commercial,Operational,OPERATIONAL,Invoice Compliance,invoice_compliance,CONFIRMED
30,Brand Act Commercial,Brand Act Commercial,Operational,OPERATIONAL,Price Divergence,price,CONFIRMED
31,Brand Act Commercial,Brand Act Commercial,Operational,OPERATIONAL,Invoice Upload,upload_nf,CONFIRMED
32,Brand Act Commercial,Brand Act Commercial,Sustainability,SUSTAINABILITY,Acceptance Term,acceptance_term,CONFIRMED
33,Brand Act Commercial,Brand Act Commercial,Sustainability,SUSTAINABILITY,Event Audit,events_audit,CONFIRMED
34,Brand Act Commercial,Brand Act Commercial,Value Creation,VALUE_CREATION,Cost,cost,CONFIRMED
35,Brand Act Commercial,Brand Act Commercial,Value Creation,VALUE_CREATION,Cash,cash_flow,CONFIRMED
36,Brand Act Commercial,Brand Act Commercial,Value Creation,VALUE_CREATION,Engagement,engagement,CONFIRMED
37,BST,BST,Service Level,SERVICE_LEVEL,Turnover,turnover,CONFIRMED
38,BST,BST,Service Level,SERVICE_LEVEL,Satisfaction,satisfaction,CONFIRMED
39,BST,BST,Service Level,SERVICE_LEVEL,Absenteeism,absenteeism,CONFIRMED
40,BST,BST,Service Level,SERVICE_LEVEL,Quality Tech,quality_tech,CONFIRMED
