id,supplier,parentSupplier,zone,category,kpiApplicability,eclipseScore,year
ecl-0,A to Z Logistics,ATOZ LOGISTICS LIMITED,APAC,Logistics,Applicable,0.200000,2025
ecl-1,ACCORD CARTON CO,ACCOR,NAZ,Packaging,Applicable,0.666000,2025
ecl-2,ACCREDO PACKAGING INC,,NAZ,Packaging,Applicable,0.141000,2025
ecl-3,AGI Glaspac/HSIL,,APAC,Packaging,Applicable,0.373000,2025
ecl-4,AKZO,,NAZ,RAU,Applicable,0.800000,2025
ecl-5,AMCOR,AMCOR,MAZ,Packaging,Applicable,0.882000,2025
ecl-6,AMCOR,AMCOR,SAZ,Packaging,Applicable,0.882000,2025
ecl-7,AMERICAN COMMODITY COMPANY,,NAZ,RAU,Applicable,0.109000,2025
ecl-8,ARAMARK,ARAMARK,NAZ,Indirects,Applicable,0.160000,2025
ecl-9,ARCONIC CORPORATION,,NAZ,Packaging,Applicable,0.681000,2025
ecl-10,ATLANTIC PACKAGING,Atlantic Packaging Products Ltd,NAZ,Packaging,Applicable,0.718000,2025
ecl-11,Adecoagro,Kadesh Hispania S.L.,SAZ,RAU,Applicable,0.841000,2025
ecl-12,Agraria,,SAZ,RAU,Applicable,0.865000,2025
ecl-13,Alilang,,APAC,Packaging,Applicable,0.254000,2025
ecl-14,Apong,APONG NANJING PACKAGING & PRINTING,APAC,Packaging,Applicable,0.266000,2025
ecl-15,Ardagh Glass Packaging,ARDAGH GROUP,AFR,Packaging,Applicable,0.716000,2025
ecl-16,Ardagh Glass Packaging,ARDAGH GROUP,EUR,Packaging,Applicable,0.716000,2025
ecl-17,Ardagh Glass Packaging,ARDAGH GROUP,NAZ,Packaging,Applicable,0.716000,2025
ecl-18,Ardagh Metal Packaging,ARDAGH GROUP,EUR,Packaging,Applicable,0.882000,2025
ecl-19,Arglass,,NAZ,Packaging,Applicable,0.217000,2025
ecl-20,Arrozeira Pelotas,ARROZEIRA PELOTAS,SAZ,RAU,Applicable,0.210000,2025
ecl-21,Ashwini Logistics Solutions,,APAC,Logistics,Applicable,0.365000,2025
ecl-22,Avangard,,GPO,RAU,Applicable,0.212000,2025
ecl-23,Avient,Avient Corporation,MAZ,Packaging,Applicable,0.224000,2025
ecl-24,Azucarera del Norte,AZUCARERA,MAZ,RAU,Applicable,0.222000,2025
ecl-25,BERRY GLOBAL INC,,NAZ,Packaging,Applicable,0.726000,2025
ecl-26,BN Pack,BN PACK CORRUGATED PRIVATE LIMITED,APAC,Packaging,Applicable,0.211000,2025
ecl-27,Ball,Ball,EUR,Packaging,Applicable,0.880000,2025
ecl-28,Ball,Ball,MAZ,Packaging,Applicable,0.880000,2025
ecl-29,Ball,Ball,NAZ,Packaging,Applicable,0.880000,2025
