id,supplier,parentSupplier,zone,category,kpiApplicability,maturityScore,year
sm-0,A to Z Logistics,ATOZ LOGISTICS LIMITED,APAC,Logistics,Applicable,,2025
sm-1,ACCORD CARTON CO,ACCOR,NAZ,Packaging,Applicable,0.160000,2025
sm-2,ACCREDO PACKAGING INC,,NAZ,Packaging,Applicable,0.410000,2025
sm-3,AGI Glaspac/HSIL,,APAC,Packaging,Applicable,0.230000,2025
sm-4,AKZO,,NAZ,RAU,Applicable,1.000000,2025
sm-5,AMCOR,AMCOR,MAZ,Packaging,Applicable,0.820000,2025
sm-6,AMCOR,AMCOR,SAZ,Packaging,Applicable,0.820000,2025
sm-7,AMERICAN COMMODITY COMPANY,,NAZ,RAU,Applicable,0.090000,2025
sm-8,ARAMARK,ARAMARK,NAZ,Indirects,Applicable,0.600000,2025
sm-9,ARCONIC CORPORATION,,NAZ,Packaging,Applicable,0.310000,2025
sm-10,ATLANTIC PACKAGING,Atlantic Packaging Products Ltd,NAZ,Packaging,Applicable,0.680000,2025
sm-11,Adecoagro,Kadesh Hispania S.L.,SAZ,RAU,Applicable,0.410000,2025
sm-12,Agraria,,SAZ,RAU,Applicable,0.650000,2025
sm-13,Alilang,,APAC,Packaging,Applicable,0.040000,2025
sm-14,Apong,APONG NANJING PACKAGING & PRINTING,APAC,Packaging,Applicable,0.160000,2025
sm-15,Ardagh Glass Packaging,ARDAGH GROUP,AFR,Packaging,Applicable,0.660000,2025
sm-16,Ardagh Glass Packaging,ARDAGH GROUP,EUR,Packaging,Applicable,0.660000,2025
sm-17,Ardagh Glass Packaging,ARDAGH GROUP,NAZ,Packaging,Applicable,0.660000,2025
sm-18,Ardagh Metal Packaging,ARDAGH GROUP,EUR,Packaging,Applicable,0.820000,2025
sm-19,Arglass,,NAZ,Packaging,Applicable,0.170000,2025
sm-20,Arrozeira Pelotas,ARROZEIRA PELOTAS,SAZ,RAU,Applicable,0.100000,2025
sm-21,Ashwini Logistics Solutions,,APAC,Logistics,Applicable,0.150000,2025
sm-22,Avangard,,GPO,RAU,Applicable,0.120000,2025
sm-23,Avient,Avient Corporation,MAZ,Packaging,Applicable,0.240000,2025
sm-24,Azucarera del Norte,AZUCARERA,MAZ,RAU,Applicable,0.220000,2025
sm-25,BERRY GLOBAL INC,,NAZ,Packaging,Applicable,0.760000,2025
sm-26,BN Pack,BN PACK CORRUGATED PRIVATE LIMITED,APAC,Packaging,Applicable,0.110000,2025
sm-27,Ball,Ball,EUR,Packaging,Applicable,0.800000,2025
sm-28,Ball,Ball,MAZ,Packaging,Applicable,0.800000,2025
sm-29,Ball,Ball,NAZ,Packaging,Applicable,0.800000,2025
sm-30,Ball,Ball,SAZ,Packaging,Applicable,0.800000,2025
sm-31,Baosteel,,APAC,Packaging,Applicable,0.220000,2025
sm-32,Barmalt,PURE FEEDS AND FOODS PRIVATE LIMITED,APAC,RAU,Applicable,0.200000,2025
sm-33,Barth-Haas,JOH BARTH & SOHN,APAC,RAU,Applicable,0.290000,2025
sm-34,Barth-Haas,JOH BARTH & SOHN,NAZ,RAU,Applicable,0.290000,2025
sm-35,Benepack,HUARUIFENGQUAN Packaging Holdings Limited,EUR,Packaging,Applicable,0.390000,2025
sm-36,Bevcan,NAMPAK BEVCAN,AFR,Packaging,Applicable,0.070000,2025
sm-37,Biagi,,NAZ,Logistics,Applicable,0.280000,2025
sm-38,Bing Xin,,APAC,Packaging,Applicable,0.040000,2025
sm-39,Bode / Protec-Pacific,,APAC,Packaging,Applicable,0.040000,2025
sm-40,Bohemia Hop,,GPO,RAU,Applicable,0.130000,2025
sm-41,Boortmalt,BOORTMALT,EUR,RAU,Applicable,0.660000,2025
sm-42,Boortmalt,BOORTMALT,MAZ,RAU,Applicable,0.660000,2025
sm-43,Boortmalt,BOORTMALT,NAZ,RAU,Applicable,0.660000,2025
sm-44,CAEI,,MAZ,RAU,Applicable,0.310000,2025
sm-45,CARIBBEAN GLASS INDUSTRY S.A.,CARIBBEAN PALLET,MAZ,Packaging,Applicable,0.150000,2025
sm-46,CCL,CCL LABEL,APAC,Packaging,Applicable,0.040000,2025
sm-47,CCL LABEL,,NAZ,Packaging,Applicable,0.440000,2025
sm-48,CMA,,Global,Logistics,Applicable,0.930000,2025
sm-49,COFCO - Malt,COFCO,APAC,RAU,Applicable,0.270000,2025
sm-50,CR ENGLAND,,NAZ,Logistics,Applicable,0.140000,2025
sm-51,CROWN CORK & SEAL USA INC,,NAZ,Packaging,Applicable,0.920000,2025
sm-52,CROWN CORK & SEAL USA INC,,SAZ,Packaging,Applicable,0.920000,2025
sm-53,Cai Fu,,APAC,Packaging,Applicable,0.260000,2025
sm-54,Canada Malting,GRAINCORP,NAZ,RAU,Applicable,,2025
sm-55,Canpack,CAN PACK,EUR,Packaging,Applicable,0.540000,2025
sm-56,Canpack,CAN PACK,MAZ,Packaging,Applicable,0.540000,2025
sm-57,Cargill,,GPO,RAU,Applicable,,2025
sm-58,Cattorini Hnos,CATTORINI HNOS. S.A.I.C.F. e I.,SAZ,Packaging,Applicable,0.240000,2025
sm-59,Chang Yu,,APAC,Packaging,Applicable,0.180000,2025
sm-60,Changfeng,,APAC,RAU,Applicable,0.130000,2025
sm-61,Changlee,,APAC,Packaging,Applicable,,2025
sm-62,Changxin,,APAC,Packaging,Applicable,,2025
sm-63,Cofco,COFCO,APAC,Packaging,Applicable,0.660000,2025
sm-64,Coleus,COLEUS PACKAGING PTY,AFR,Packaging,Applicable,0.760000,2025
sm-65,Comercializadora ledesma,Ledesma,MAZ,RAU,Applicable,0.040000,2025
sm-66,Cooperativa PINDO S.A.,COOPERATIVA AGROINDUSTRIAL,SAZ,RAU,Applicable,0.160000,2025
sm-67,Costeño Alimentos SAC,,MAZ,RAU,Applicable,0.080000,2025
sm-68,Crisp,"James Richardson & Sons, Limited",EUR,RAU,Applicable,0.570000,2025
sm-69,Cristalerias Chile S.A.,Cristalerias,SAZ,Packaging,Applicable,0.410000,2025
sm-70,Cristalpet,CRISTALPET,SAZ,Packaging,Applicable,0.090000,2025
sm-71,DIDION MILLING,,NAZ,RAU,Applicable,1.000000,2025
sm-72,"DOMINION PACKAGING, INC.",,NAZ,Packaging,Applicable,0.290000,2025
sm-73,DS Smith,DS SMITH,EUR,Packaging,Applicable,0.860000,2025
sm-74,DSV,,Global,Logistics,Applicable,0.880000,2025
sm-75,Daesang,,APAC,RAU,Applicable,0.410000,2025
sm-76,Diana,DIANA LOERA,MAZ,RAU,Applicable,0.160000,2025
sm-77,Diversey-Solenis,,GPO,RAU,Applicable,0.960000,2025
sm-78,Doehler,,GPO,RAU,Applicable,0.210000,2025
sm-79,Dong-A Packaging,,APAC,Packaging,Applicable,0.040000,2025
sm-80,Donggae,,APAC,RAU,Applicable,0.240000,2025
sm-81,Dongwon,,APAC,Packaging,Applicable,0.180000,2025
sm-82,Dongwon CAN,,APAC,Packaging,Applicable,0.700000,2025
sm-83,ELEMENT FINANCIAL,,NAZ,Indirects,Applicable,0.310000,2025
sm-84,Engepack,ENGEPACK EMBALAGENS SAO PAULO SA,SAZ,Packaging,Applicable,0.380000,2025
sm-85,Envases Universales México,Envases,MAZ,Packaging,Applicable,0.320000,2025
sm-86,Envases Universales México,Envases,NAZ,Packaging,Applicable,0.320000,2025
sm-87,Erfurter,Getreide-Aktiengesellschaft vorm. P. Kruse - Chr. Sieck,EUR,RAU,Applicable,0.220000,2025
sm-88,Everest,,APAC,Indirects,Applicable,0.310000,2025
sm-89,FASTENAL,FASTENAL,NAZ,Indirects,Applicable,0.360000,2025
sm-90,FERYARROZ CIA LTDA,,MAZ,RAU,Applicable,0.150000,2025
sm-91,Farmers Rice Cooperative,,NAZ,RAU,Applicable,0.120000,2025
sm-92,Fevisa,,MAZ,Packaging,Applicable,0.400000,2025
sm-93,Fevisa,,NAZ,Packaging,Applicable,0.400000,2025
sm-94,Firmenich,,GPO,RAU,Applicable,1.000000,2025
